EGreedy,EDecreasing,Hybrid1,Hybrid2,Hybrid3,Hybrid4,Hybrid5
121.2,154.2,166.2,160.6,174.2,177,90.6
130.6,158.8,172.8,167.6,180.4,188.2,96.2
0.2,0.2,0.2,0.2,0.2,0.2,0.2
1.8,8.4,8,7.8,5.8,8,7
7.4,13.6,17,15.8,13.4,12.2,12.4
17.6,23,23.4,22.6,24.6,21.4,24.4
22.2,32.8,32.2,33.2,39.8,34.6,34.4
30.2,41.4,35.4,40.8,48.2,49,43.6
37.2,49.6,42,49.4,56.6,61.2,52.8
43.4,62.6,47.8,54.4,61.2,74,60.4
47.2,68.8,53,62.2,71,77.6,61.4
53.2,79,59,75.2,80,89,68.2
60.4,90.2,69.4,84,92.2,104.6,75.4
68.2,95.8,69.8,91.4,97.6,112,82.2
71.4,101.6,74.6,103.6,111.2,122.8,87.6
77.8,110.4,75.4,109.2,115.4,133,93.4
82.4,115.6,76.8,119.6,128.8,142.8,100.4
88.8,130.4,85,128.8,133.8,152.4,104.2
89.6,140.2,87.4,138.2,146,160,106.4
96.6,148.4,91.6,151.2,156.8,169.4,109.8
101.2,158.2,99.2,162.4,168.6,184.6,119.6
106,169.6,106.4,174.8,181.2,193,123.4
0,0,0,0,0,0,0
6.4,8,8,8.4,7.4,4.6,8.4
21,14.6,16.6,17.8,17.4,14,18.8
28.6,19.6,27,28,26.2,19.6,25.4
39,19.8,33.2,37.4,34,33.2,38.2
54.8,32.6,45,50.8,43.4,42,49.4
68,38.2,49.4,55.4,50.2,58,63.2
79.8,46.4,57.8,66,57.2,64.6,71.6
86,50.8,63.6,71,64.8,73.8,79.4
98.2,51.6,66.6,79,72.8,88.4,93.8
112.8,54.4,68,84.6,78.4,98.2,103.4
120.8,64,76.8,95.4,87.8,106.8,112.6
132,64,77.4,104,98,119.4,124.8
139.8,73.2,84.4,104.4,100.8,121.8,128.4
142,77.8,88.4,107.2,101.2,121.8,128.6
142.2,80,91.2,119.4,110.6,130.2,136.4
151.8,90.2,93.4,126.4,122.8,139.4,146
165.6,97.8,98,138.4,135,151.4,156.8
176.2,110.6,113,152.2,145.4,161.8,165.8
185.8,119.8,127.8,167.2,159.4,171.8,178.4
0,0,0,0,0,0,0
7.4,5,1.8,6,2.2,3.8,2.4
9.6,9,4.6,11.2,4.6,9.8,9
17.2,16.6,11.8,17.4,8.8,15.6,14.8
22.6,19,18.8,28.2,16,23,23
31,28,26.4,40.2,23.4,35,26.8
40.6,36.6,36.8,53,31.6,42.4,33.6
46.2,48.4,46.2,57.4,42.8,47.8,39
48,52,52,64,48.4,49.2,39
49.4,56.6,57.6,70.8,51.8,54,42.2
58,68.4,69.2,75.8,55.6,59.6,44.6
63,80.2,78.6,84.6,59.6,67.4,49
67.2,83.4,84.4,95.2,66.8,68.6,50.2
75,90.8,90.4,103.2,70.6,79,58.8
78.4,101.8,101.8,108.8,73.6,78.8,56.4
80.8,113,111.4,115.8,76.8,85.4,61
85.2,124,120,125.8,83,90.8,65.4
91,135.8,131,136.8,89.8,94.8,67.8
97.2,146.4,139.6,145.2,98.2,103.6,75.8
106.2,157.2,148.6,158,107.2,111,81
