Strategy,MeanRewards
Edecreasing,-3
Edecreasing,4.2
Edecreasing,14
Edecreasing,16.8
Edecreasing,24
Edecreasing,31.2
Edecreasing,39
Edecreasing,40.6
Edecreasing,51
Edecreasing,56.8
Edecreasing,58.4
Edecreasing,66.2
Edecreasing,66.2
Edecreasing,67.6
Edecreasing,72.8
Edecreasing,85
Edecreasing,88.6
Edecreasing,94.4
Edecreasing,107.6
Edecreasing,0.2
Edecreasing,5.2
Edecreasing,12.2
Edecreasing,16.6
Edecreasing,19
Edecreasing,23.2
Edecreasing,32.8
Edecreasing,43.6
Edecreasing,54.4
Edecreasing,64.6
Edecreasing,70.4
Edecreasing,73.6
Edecreasing,86.6
Edecreasing,90.2
Edecreasing,98.6
Edecreasing,101.4
Edecreasing,106.8
Edecreasing,119
Edecreasing,126
Edecreasing,135.2
Edecreasing,0
Edecreasing,4
Edecreasing,15.6
Edecreasing,21
Edecreasing,29
Edecreasing,33.4
Edecreasing,40.2
Edecreasing,49.6
Edecreasing,56.8
Edecreasing,68.6
Edecreasing,80.2
Edecreasing,87.8
Edecreasing,91
Edecreasing,97.2
Edecreasing,113.6
Edecreasing,121.6
Edecreasing,125
Edecreasing,134
Edecreasing,146.4
Edecreasing,160
Edecreasing,-0.2
Edecreasing,5.4
Edecreasing,6.8
Edecreasing,17.4
Edecreasing,23
Edecreasing,29.4
Edecreasing,32.2
Edecreasing,39
Edecreasing,48.6
Edecreasing,62.8
Edecreasing,70.8
Edecreasing,84.6
Edecreasing,96.4
Edecreasing,105
Edecreasing,114.8
Edecreasing,123.6
Edecreasing,135
Edecreasing,141.6
Edecreasing,154.4
Edecreasing,161.8
Edecreasing,0
Edecreasing,4.4
Edecreasing,9.4
Edecreasing,26.2
Edecreasing,35.4
Edecreasing,49.4
Edecreasing,53.6
Edecreasing,56.8
Edecreasing,66.2
Edecreasing,74.8
Edecreasing,84.6
Edecreasing,95
Edecreasing,102.8
Edecreasing,110.8
Edecreasing,121.6
Edecreasing,124.6
Edecreasing,140.8
Edecreasing,154.2
Edecreasing,163
Edecreasing,167.6
Edecreasing,0
Edecreasing,3.2
Edecreasing,11.8
Edecreasing,18.6
Edecreasing,26
Edecreasing,32
Edecreasing,35.6
Edecreasing,44.2
Edecreasing,53.2
Edecreasing,60.6
Edecreasing,66.2
Edecreasing,83.4
Edecreasing,96.6
Edecreasing,107.4
Edecreasing,120.6
Edecreasing,129.4
Edecreasing,138
Edecreasing,147.6
Edecreasing,154.2
Edecreasing,158.8
Edecreasing,0.2
Edecreasing,8.4
Edecreasing,13.6
Edecreasing,23
Edecreasing,32.8
Edecreasing,41.4
Edecreasing,49.6
Edecreasing,62.6
Edecreasing,68.8
Edecreasing,79
Edecreasing,90.2
Edecreasing,95.8
Edecreasing,101.6
Edecreasing,110.4
Edecreasing,115.6
Edecreasing,130.4
Edecreasing,140.2
Edecreasing,148.4
Edecreasing,158.2
Edecreasing,169.6
Edecreasing,0
Edecreasing,8
Edecreasing,14.6
Edecreasing,19.6
Edecreasing,19.8
Edecreasing,32.6
Edecreasing,38.2
Edecreasing,46.4
Edecreasing,50.8
Edecreasing,51.6
Edecreasing,54.4
Edecreasing,64
Edecreasing,64
Edecreasing,73.2
Edecreasing,77.8
Edecreasing,80
Edecreasing,90.2
Edecreasing,97.8
Edecreasing,110.6
Edecreasing,119.8
Edecreasing,0
Edecreasing,5
Edecreasing,9
Edecreasing,16.6
Edecreasing,19
Edecreasing,28
Edecreasing,36.6
Edecreasing,48.4
Edecreasing,52
Edecreasing,56.6
Edecreasing,68.4
Edecreasing,80.2
Edecreasing,83.4
Edecreasing,90.8
Edecreasing,101.8
Edecreasing,113
Edecreasing,124
Edecreasing,135.8
Edecreasing,146.4
Edecreasing,157.2
Hybrid2',0
Hybrid2',10
Hybrid2',14.6
Hybrid2',23
Hybrid2',28.6
Hybrid2',36
Hybrid2',43.8
Hybrid2',50.6
Hybrid2',59.4
Hybrid2',69
Hybrid2',81.4
Hybrid2',92.8
Hybrid2',103.8
Hybrid2',111
Hybrid2',122.6
Hybrid2',130.8
Hybrid2',141.6
Hybrid2',152.6
Hybrid2',166
Hybrid2',173.2
Hybrid2',-0.2
Hybrid2',4.6
Hybrid2',9
Hybrid2',8.8
Hybrid2',15
Hybrid2',24.2
Hybrid2',33.2
Hybrid2',43.4
Hybrid2',51.6
Hybrid2',58.4
Hybrid2',75.6
Hybrid2',85
Hybrid2',99.2
Hybrid2',106.8
Hybrid2',116.8
